player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr,predicted_contrib_p10,predicted_contrib_p50,predicted_contrib_p90,contrib_volatility_spread
Winks,C,M;C,CAG,6,1.5,6.0,0.5,0.0,0.0,0.0,15,1.0,5.78,5.72,5.78,5.72,0.0,,0.526,0.0,0.0,0.1,0.0,1.0,0.422,0.979,0.022,0.051,0.022,0.732,0.9604,1.472,0,0,0,0.0,2,0,147,True,1.0,0.4708,0.4708,16.6,6,15,3,2,no_prior_data;clearing_observed(historical),15,6,12,68.8,180.8,217.6,148.8
Smolcic I.,D,Dd;E,COM,4,1.0,6.0,0.5,0.0,0.0,0.0,10,2.0,5.91,5.81,5.885,5.795,0.075,,0.434,0.0,0.04,0.32,0.0,2.0,1.013,0.79,0.074,0.061,0.074,0.74,1.0068,1.982,0,0,0,0.0,0,2,33,False,0.0,0.4705,0.4705,0.0,4,10,2,1,fade(0.97);clearing_observed(historical),10,4,8,37.3,106.1,186.9,149.6
Colpani,C,T,MON,9,1.5,6.0,0.5,0.0,0.0,0.0,15,3.0,5.988,6.43,6.037,6.527,0.165,-0.145,0.754,0.163,0.058,0.035,0.0,3.0,3.752,3.17,0.186,0.167,0.186,2.189,0.9337,1.178,85,3,1,0.631,2,0,154,True,1.0,0.4704,0.5196,0.0,9,15,5,3,no_prior_data;clearing_observed(historical),15,9,10,56.0,155.7,213.2,157.2
Pongracic,D,Dc,FIO,4,0.8,6.0,0.5,0.0,0.0,0.0,8,4.0,5.86,5.687,5.907,5.755,0.066,-0.057,0.638,0.0,0.0,0.239,0.0,4.0,0.544,0.427,0.022,0.018,0.022,0.271,1.0124,2.045,59,3,0,0.229,1,1,61,True,0.5,0.4698,0.4865,1.8,4,8,2,1,fade(1.03);clearing_observed(asta_xlsx),8,4,6,71.8,164.5,208.2,136.4
Pellegrini Lu.,D,Ds;E,LAZ,2,0.7,6.0,0.5,0.0,0.0,0.0,7,8.0,5.917,5.902,5.94,5.846,0.18,0.0055,0.431,0.016,0.094,0.312,0.0,4.0,5.068,3.937,0.278,0.186,0.215,2.2,0.9953,1.856,99,13,0,0.385,0,0,0,False,0.0,0.4696,0.4984,0.0,2,7,2,1,floor_qi;clearing_observed(historical),7,2,5,41.1,116.0,184.1,143.0
Bellanova,D,Dd;E,ATA,6,1.7,6.0,0.5,0.0,0.0,0.0,17,7.0,5.947,6.055,5.117,5.19,2.092,0.4236,0.596,0.015,0.133,0.096,0.0,4.0,1.215,3.886,0.062,0.188,0.062,0.822,1.0354,2.298,71,3,0,0.276,0,2,12,False,0.0,0.4695,0.4898,0.0,6,17,56,28,thin_prior_sample_no_fade;clearing_observed(asta_xlsx),17,6,-39,58.1,142.3,210.4,152.3
Fagioli,C,M;C,FIO,7,2.0,6.0,0.5,0.0,0.0,0.0,20,7.0,5.998,6.17,4.306,4.444,2.724,0.8568,0.468,0.075,0.1,0.15,0.0,4.0,1.295,2.637,0.073,0.157,0.073,1.1,1.0124,2.045,33,4,0,0.128,1,1,90,True,0.5,0.469,0.4782,3.9,7,20,9,4,fade(1.00);clearing_observed(historical),20,7,11,87.6,168.1,195.3,107.7
Skorupski,P,Por,BOL,10,3.2,6.0,0.5,0.0,0.0,0.0,32,11.0,6.18,5.208,6.2,5.025,0.127,-0.0124,0.766,0.0,0.0,0.063,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,1.004,1.952,131,7,0,0.509,2,0,180,True,1.0,0.4688,0.5075,10.4,10,32,26,13,goalkeeper_no_fade;clearing_observed(asta_xlsx),32,10,6,77.3,160.6,229.2,151.9
Franjic,D,B;Ds;E,VEN,3,0.7,6.0,0.5,0.0,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,0.9494,1.351,110,6,0,0.428,2,0,134,True,1.0,0.4686,0.5007,12.3,3,7,7,3,no_prior_data,7,3,0,69.8,175.0,213.9,144.1
Ngonge,A,A,MON,5,1.3,6.0,0.5,0.0,0.0,0.0,13,4.0,5.85,6.033,5.938,6.315,0.158,-0.105,0.421,0.19,0.069,0.172,0.0,4.0,2.51,0.982,0.268,0.096,0.268,3.012,0.9337,1.178,28,5,0,0.109,0,0,0,False,0.0,0.4686,0.4764,0.0,5,13,1,1,thin_prior_sample_no_fade;clearing_observed(asta_xlsx),13,5,12,39.4,121.0,189.4,150.0
